,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC,CAND_CITY,CAND_ST,CAND_ZIP,candidatevotes,totalvotes,VOTE_percent,WINNER
610,H6MN02131,"CRAIG, ANGELA DAWN",DEM,2018,MN,H,2.0,C,C,C00575209,EAGAN,MN,55122.0,177958,337968,0.5265528097334659,1
611,H6MN02149,"LEWIS, JASON MARK MR.",REP,2018,MN,H,2.0,I,P,C00589234,WOODBURY,MN,55129.0,159344,337968,0.4714765894995976,0
612,H8MN01279,"FEEHAN, DANIEL",DFL,2018,MN,H,1.0,O,C,C00649327,NORTH MANKATO,MN,56002.0,144885,291661,0.4967582227311845,0
613,H0MN01045,"HAGEDORN, JAMES",REP,2018,MN,H,1.0,O,C,C00550707,BLUE EARTH,MN,56013.0,146200,291661,0.5012668817565599,1
616,H2MI14111,"LAWRENCE, BRENDA LULENAR",DEM,2018,MI,H,14.0,I,C,C00552588,SOUTHFIELD,MI,48037.0,214334,264994,0.8088258602081556,1
618,H8MI13250,"TLAIB, RASHIDA",DEM,2018,MI,H,13.0,O,C,C00668608,DETROIT,MI,48202.0,165355,196299,0.8423629259446049,1
620,H8MI12120,"NIEMUTH, NILES",SEP,2018,MI,H,12.0,C,P,C00680868,HAMTRAMCK,MI,48212.0,2213,294628,0.0075111666236745995,0
621,H6MI12264,"JONES, JEFF",REP,2018,MI,H,12.0,C,N,C00611269,TAYLOR,MI,48180.0,85115,294628,0.28888971856035406,0
623,H4MI12079,"DINGELL, DEBBIE",DEM,2018,MI,H,12.0,I,C,C00558213,DEARBORN,MI,48124.0,200588,294628,0.680817844875572,1
625,H8MI11320,"EPSTEIN, LENA ROSE",REP,2018,MI,H,11.0,O,P,C00641498,BLOOMFIELD HILLS,MI,48304.0,158463,350901,0.4515889096924774,0
626,H8MI11254,"STEVENS, HALEY",DEM,2018,MI,H,11.0,O,C,C00638650,BIRMINGHAM,MI,48009.0,181912,350901,0.5184140256083625,1
627,H8MI11379,"NYE, COOPER JON",IND,2018,MI,H,11.0,O,C,C00669465,WOLVERINE LAKE,MI,48390.0,4727,350901,0.013471035990208064,0
628,H4MI04118,"MITCHELL, PAUL III",REP,2018,MI,H,10.0,I,C,C00581090,PORT HURON,MI,48060.0,182808,303064,0.6031993242351451,1
629,H8MI10108,"BIZON, KIMBERLY ANN",DEM,2018,MI,H,10.0,C,C,C00666594,LEXINGTON,MI,48450.0,106061,303064,0.34996238418287884,0
630,H8MI10116,"PERUSKI, JEREMY MICHAEL",IND,2018,MI,H,10.0,C,P,C00676627,LEXINGTON,MI,48450.0,11344,303064,0.03743103766861125,0
631,H2MI05101,"MIKKELSON, HARLEY",GRE,2018,MI,H,10.0,C,N,C00381111,CARO,MI,48723.0,2851,303064,0.009407253913364834,0
633,H8MI09092,"STEARNS, CANDIUS MRS.",REP,2018,MI,H,9.0,O,P,C00657171,STERLING HEIGHTS,MI,48312.0,112123,304563,0.3681438651444857,0
634,H8MI09118,"LEVIN, ANDY",DEM,2018,MI,H,9.0,O,C,C00662619,CLINTON TOWNSHIP,MI,48038.0,181734,304563,0.5967041301799628,1
636,H4MI08135,"BISHOP, MIKE",REP,2018,MI,H,8.0,I,P,C00561001,ROCHESTER,MI,483071014.0,159782,341593,0.46775548679276213,0
637,H8MI08102,"SLOTKIN, ELISSA",DEM,2018,MI,H,8.0,C,C,C00650150,HOLLY,MI,48442.0,172880,341593,0.5060993638628426,1
640,H4MI07103,"WALBERG, TIMOTHY L REP",REP,2018,MI,H,7.0,I,C,C00390724,TIPTON,MI,492879807.0,158730,295060,0.5379583813461669,1
641,H6MI07223,"DRISKELL, GRETCHEN",DEM,2018,MI,H,7.0,C,C,C00572859,SALINE,MI,48176.0,136330,295060,0.46204161865383314,0
643,H8MI06155,"LONGJOHN, MATT",DEM,2018,MI,H,6.0,C,P,C00650689,PORTAGE,MI,49081.0,134082,293438,0.4569346846693339,0
644,H6MI04113,"UPTON, FREDERICK STEPHEN",REP,2018,MI,H,6.0,I,C,C00200584,ST. JOSEPH,MI,49085.0,147436,293438,0.5024434463157464,1
645,H8MI05116,"WINES, TRAVIS RYAN",REP,2018,MI,H,5.0,C,N,C00677914,DURAND,MI,48429.0,99265,276413,0.3591184206242109,0
647,H2MI05119,"KILDEE, DANIEL T.",DEM,2018,MI,H,5.0,I,C,C00499947,FLUSHING,MI,48433.0,164502,276413,0.595131198604986,1
648,H4MI04126,"MOOLENAAR, JOHN MR.",REP,2018,MI,H,4.0,I,C,C00561530,MIDLAND,MI,486402614.0,178510,285050,0.6262410103490615,1
650,H0MI03126,"AMASH, JUSTIN",REP,2018,MI,H,3.0,I,C,C00476291,GRAND RAPIDS,MI,49506.0,169107,310740,0.5442073759413014,1
651,H8MI03079,"ALBRO, CATHERINE",DEM,2018,MI,H,3.0,C,C,C00656785,CALEDONIA,MI,49316.0,134185,310740,0.43182403295359467,0
653,H8MI02113,"DAVIDSON, ROBERT MICHAEL DR",DEM,2018,MI,H,2.0,C,P,C00638254,SPRING LAKE,MI,49456.0,131254,305463,0.429688702068663,0
654,H0MI02094,"HUIZENGA, WILLIAM P",REP,2018,MI,H,2.0,I,C,C00459297,HOLLAND,MI,494247452.0,168970,305463,0.5531602845516478,1
655,H8MI01149,"MORGAN, MATTHEW WADE",DEM,2018,MI,H,1.0,C,P,C00636324,TRAVERSE CITY,MI,49686.0,145246,332497,0.43683401654751775,0
656,H6MI01226,"BERGMAN, JOHN",REP,2018,MI,H,1.0,I,C,C00614214,WATERSMEET,MI,49969.0,187251,332497,0.5631659834524823,1
657,H8MA09046,"TEDESCHI, PETER D. MR.",REP,2018,MA,H,9.0,C,P,C00658492,N. MARSHFIELD,MA,2059.0,131463,323928,0.40584018670815736,0
658,H0MA10082,"KEATING, WILLIAM RICHARD",DEM,2018,MA,H,9.0,I,C,C00479063,MONUMENT BEACH,MA,2553.0,192347,323928,0.5937955348102048,1
659,H2MA09072,"LYNCH, STEPHEN",DEM,2018,MA,H,8.0,I,C,C00366948,SOUTH BOSTON,MA,2127.0,259159,263307,0.9842465259184147,1
660,H8MA07032,"PRESSLEY, AYANNA",DEM,2018,MA,H,7.0,C,C,C00667741,DORCHESTER CENTER,MA,2124.0,216559,220411,0.9825235582616113,1
661,H8MA06141,"CHARBONNEAU, MARY JEAN",IND,2018,MA,H,6.0,C,N,C00681072,ROCKPORT,MA,1966.0,11309,333975,0.03386181600419193,0
662,H8MA06133,"SCHNEIDER, JOSEPH",REP,2018,MA,H,6.0,C,P,C00672956,BEVERLY,MA,1915.0,104798,333975,0.3137899543378995,0
663,H4MA06090,"MOULTON, SETH",DEM,2018,MA,H,6.0,I,C,C00547240,SALEM,MA,9170.0,217703,333975,0.6518541807021484,1
665,H4MA05084,"CLARK, KATHERINE",DEM,2018,MA,H,5.0,I,C,C00541888,BELMONT,MA,2478.0,236243,311324,0.7588332412534852,1
666,H2MA04073,"KENNEDY, JOSEPH P III",DEM,2018,MA,H,4.0,I,C,C00512970,NEWTON,MA,2459.0,245289,251016,0.9771847212926666,1
667,H8MA03221,"MULLEN, MICHAEL P MR.",UN,2018,MA,H,3.0,O,P,C00678797,MAYNARD,MA,1754.0,12572,279327,0.045008180376404715,0
668,H8MA03114,"GREEN, RICK",REP,2018,MA,H,3.0,O,P,C00657098,WESTFORD,MA,1886.0,93445,279327,0.3345362245683375,0
669,H8MA03106,"TRAHAN, LORI",DEM,2018,MA,H,3.0,O,C,C00655647,LOWELL,MA,1853.0,173175,279327,0.6199722905411936,1
670,H8MA02116,"LOVVORN, TRACY LYN",REP,2018,MA,H,2.0,C,C,C00669614,GRAFTON,MA,1519.0,93391,284893,0.3278107921219546,0
671,H4MA03022,"MCGOVERN, JAMES P. MR.",DEM,2018,MA,H,2.0,I,C,C00285171,WORCESTER,MA,1606.0,191332,284893,0.6715924926200363,1
672,H8MA02041,"NEAL, RICHARD E MR.",DEM,2018,MA,H,1.0,I,C,C00226522,SPRINGFIELD,MA,1107.0,211790,216900,0.9764407561088059,1
673,H8ME01120,"PINGREE, CHELLIE M",DEM,2018,ME,H,1.0,I,C,C00433391,NORTH HAVEN,ME,4853.0,201195,342053,0.5881983201433696,1
674,H6ME01207,"HOLBROOK, MARK IRVING DR",REP,2018,ME,H,1.0,C,P,C00592469,BRUNSWICK,ME,4011.0,111188,342053,0.32506073620169973,0
675,H8ME01203,"GROHMAN, MARTIN JAMES",IND,2018,ME,H,1.0,C,P,C00676528,BIDDEFORD,ME,4005.0,29670,342053,0.08674094365493067,0
676,H8LA06162,"SAIZAN, ANDIE",DEM,2018,LA,H,6.0,C,P,C00676569,SPRINGFIELD,LA,70462.0,21627,268525,0.08053998696583185,0
677,H4LA06153,"GRAVES, GARRET",REP,2018,LA,H,6.0,I,C,C00558486,BATON ROUGE,LA,70806.0,186553,268525,0.6947323340471092,1
681,H8LA05099,"FLEENOR, JESSEE CARLTON",DEM,2018,LA,H,5.0,C,P,C00683888,LORANGER,LA,70446.0,67118,223946,0.2997061791681923,0
683,H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",REP,2018,LA,H,5.0,I,C,C00563940,ARCHIBALD,LA,712180271.0,149018,223946,0.6654193421628428,1
686,H8LA03086,"THOMAS, VERONE A MR",DEM,2018,LA,H,3.0,C,N,C00675421,LAKE CHARLES,LA,70601.0,7815,245943,0.03177565533477269,0
687,H6LA03155,"RADER, LARRY",DEM,2018,LA,H,3.0,C,P,C00622829,NEW IBERIA,LA,70560.0,9692,245943,0.039407504990993845,0
688,H8LA03094,"METHVIN, MIMI",DEM,2018,LA,H,3.0,C,P,C00673384,LAFAYETTE,LA,70508.0,43729,245943,0.1778013604778343,0
689,H6LA03148,"HIGGINS, CLAY CAPTAIN",REP,2018,LA,H,3.0,I,C,C00617662,LAFAYETTE,LA,705961747.0,136876,245943,0.5565354574027316,1
690,H8LA03037,"GUILLORY, JOSHUA S",REP,2018,LA,H,3.0,C,P,C00632448,LAFAYETTE,LA,70503.0,31387,245943,0.12761900115067312,0
692,H8LA03060,"ANDERSON, ROBERT JON",DEM,2018,LA,H,3.0,C,C,C00668913,SINGER,LA,70660.0,13477,245943,0.05479724976925548,0
693,H8LA02153,"SCHMIDT, JESSE",NPA,2018,LA,H,2.0,C,P,C00686261,GRETNA,LA,70053.0,20465,235982,0.08672271613936657,0
694,H8LA02146,"RODRIGUEZ, SHAWNDRA",NPA,2018,LA,H,2.0,C,N,C00683524,BATON ROUGE,LA,70884.0,8075,235982,0.0342187115966472,0
695,H8LA02054,"RICHMOND, CEDRIC L.",DEM,2018,LA,H,2.0,I,C,C00451336,NEW ORLEANS,LA,70116.0,190182,235982,0.8059174004796976,1
696,H8LA02161,"BATISTE, BELDEN NOONIE MAN MR. SR.",IND,2018,LA,H,2.0,C,N,C00686311,NEW ORLEANS,LA,70119.0,17260,235982,0.07314117178428864,0
697,H0LA01087,"SCALISE, STEVE MR",REP,2018,LA,H,1.0,I,C,C00394957,JEFFERSON,LA,70121.0,192555,269325,0.714954051796157,1
698,H8LA01122,"SAVOIE, TAMMY MARIE DR",DEM,2018,LA,H,1.0,C,P,C00678326,NEW ORLEANS,LA,70124.0,44273,269325,0.16438503666573842,0
699,H6LA01225,"KEARNEY, HOWARD",LIB,2018,LA,H,1.0,C,C,C00675835,MANDEVILLE,LA,70448.0,2806,269325,0.010418639190569016,0
701,H8LA01130,"FRANCIS, JIM",DEM,2018,LA,H,1.0,C,P,C00670950,COVINGTON,LA,70434.0,8688,269325,0.03225842383737121,0
702,H8LA01148,"DUGAS, LEE ANN MS",DEM,2018,LA,H,1.0,C,N,C00679563,KENNER,LA,70062.0,18560,269325,0.06891302329898821,0
704,H8KY06214,"WALLIN, RIKKA L",IND,2018,KY,H,6.0,C,N,C00685453,LEXINGTON,KY,40509.0,1011,302888,0.0033378674625604184,0
706,H8KY06164,"MCGRATH, AMY",DEM,2018,KY,H,6.0,C,P,C00646745,GEORGETOWN,KY,40324.0,144736,302888,0.4778531998626555,0
707,H0KY06104,"BARR, GARLAND ANDY",REP,2018,KY,H,6.0,I,C,C00467571,LEXINGTON,KY,405880588.0,154468,302888,0.5099838884340087,1
708,H6KY05111,"STEPP, KENNETH STEPHENSON",DEM,2018,KY,H,5.0,C,N,C00669200,MANCHESTER,KY,40962.0,45890,218017,0.21048817294064223,0
709,H0KY05015,"ROGERS, HAROLD DALLAS",REP,2018,KY,H,5.0,I,C,C00116632,SOMERSET,KY,42502.0,172093,218017,0.789355875917933,1
711,H8KY04169,"HALL, SETH BLANE",DEM,2018,KY,H,4.0,C,C,C00666131,LAGRANGE,KY,40031.0,90536,261812,0.3458053870716392,0
712,H2KY04121,"MASSIE, THOMAS H.",REP,2018,KY,H,4.0,I,C,C00509729,NEWPORT,KY,41072.0,162946,261812,0.622377889477946,1
714,H8KY03211,"GLISSON, VICKIE YATES BROWN",REP,2018,KY,H,3.0,C,P,C00668699,LOUISVILLE,KY,40206.0,101930,278720,0.3657075200918484,0
715,H6KY03124,"YARMUTH, JOHN A",DEM,2018,KY,H,3.0,I,C,C00419630,HARRODS CREEK,KY,40027.0,173002,278720,0.6207017795637199,1
717,H8KY02080,"LINDERMAN, HANK",DEM,2018,KY,H,2.0,C,C,C00668194,FALLS OF ROUGH,KY,40119.0,79964,257345,0.31072684528551164,0
718,H8KY02031,"GUTHRIE, S. BRETT HON.",REP,2018,KY,H,2.0,I,C,C00445023,BOWLING GREEN,KY,421031593.0,171700,257345,0.6671977306728322,1
719,H8KY01074,"WALKER, PAUL",DEM,2018,KY,H,1.0,C,P,C00665679,MURRAY,KY,42071.0,78849,251016,0.31411941868247445,0
720,H6KY01110,"COMER, JAMES",REP,2018,KY,H,1.0,I,C,C00588764,TOMPKINSVILLE,KY,421671553.0,172167,251016,0.6858805813175256,1
721,H8KS04112,"ESTES, RON",REP,2018,KS,H,4.0,I,F,C00632067,WICHITA,KS,672064126.0,144248,242693,0.5943640731294269,1
722,H8KS04120,"THOMPSON, JAMES A MR.",DEM,2018,KS,H,4.0,C,P,C00631572,ANDOVER,KS,67002.0,98445,242693,0.4056359268705731,0
723,H8KS03155,"DAVIDS, SHARICE",DEM,2018,KS,H,3.0,C,C,C00670034,SHAWNEE,KS,66216.0,170518,318301,0.5357130514827161,1
724,H0KS03137,"YODER, KEVIN",REP,2018,KS,H,3.0,I,C,C00472365,OVERLAND PARK,KS,662217531.0,139762,318301,0.43908753035648646,0
728,H6KS01179,"MARSHALL, ROGER W",REP,2018,KS,H,1.0,I,C,C00576173,GREAT BEND,KS,67530.0,153082,224640,0.6814547720797721,1
729,H4KS01059,"LAPOLICE, ALAN",DEM,2018,KS,H,1.0,C,P,C00552810,CLYDE,KS,66938.0,71558,224640,0.31854522792022794,0
732,H8IA04106,"SCHOLTEN, JAMES D.",DEM,2018,IA,H,4.0,C,C,C00650622,SIOUX CITY,IA,51106.0,147246,313251,0.4700575576773897,0
733,H2IA05072,"KING, STEVE MR.",REP,2018,IA,H,4.0,I,C,C00373563,KIRON,IA,514488003.0,157676,313251,0.5033535407708196,1
742,H6IA02146,"LOEBSACK, DAVID WAYNE",DEM,2018,IA,H,2.0,I,C,C00414318,IOWA CITY,IA,52244.0,171446,312913,0.5479030912745715,1
743,H6IA02161,"PETERS, CHRISTOPHER",REP,2018,IA,H,2.0,C,P,C00662395,CORALVILLE,IA,52241.0,133287,312913,0.42595545726767503,0
745,H8IA01094,"FINKENAUER, ABBY",DEM,2018,IA,H,1.0,C,C,C00637074,DUBUQUE,IA,52004.0,170342,334243,0.5096352055241247,1
746,H2IA01055,"BLUM, RODNEY",REP,2018,IA,H,1.0,I,P,C00543926,DUBUQUE,IA,52003.0,153442,334243,0.45907318926649177,0
747,H8IN09107,"WATSON, LIZ",DEM,2018,IN,H,9.0,C,P,C00651331,BLOOMINGTON,IN,47401.0,118090,271361,0.43517675716112486,0
748,H6IN09176,"HOLLINGSWORTH, TREY",REP,2018,IN,H,9.0,I,C,C00590463,JEFFERSONVILLE,IN,47130.0,153271,271361,0.5648232428388752,1
749,H8IN08141,"TANOOS, WILLIAM",DEM,2018,IN,H,8.0,C,C,C00652636,TERRE HAUTE,IN,47802.0,86895,244291,0.3557028298218109,0
750,H0IN08114,"BUCSHON, LARRY D.",REP,2018,IN,H,8.0,I,C,C00468256,NEWBURGH,IN,47629.0,157396,244291,0.6442971701781891,1
751,H8IN07150,"HARMON, WAYNE E",REP,2018,IN,H,7.0,C,N,C00546721,INDIANAPOLIS,IN,46219.0,76457,217596,0.3513713487380283,0
752,H8IN07184,"CARSON, ANDRE",DEM,2018,IN,H,7.0,I,C,C00442921,INDIANAPOLIS,IN,46206.0,141139,217596,0.6486286512619718,1
754,H8IN06152,"LAKE, JEANNINE LEE",DEM,2018,IN,H,6.0,O,C,C00678557,MUNICE,IN,47304.0,79430,241726,0.3285951862852982,0
755,H8IN06129,"PENCE, GREGORY J.",REP,2018,IN,H,6.0,O,C,C00658401,SHELBYVILLE,IN,46176.0,154260,241726,0.6381605619585812,1
756,H8IN05188,"THORNTON, DIERDRE",DEM,2018,IN,H,5.0,C,C,C00664797,CARMEL,IN,46033.0,137142,317177,0.4323831803693206,0
757,H2IN05082,"BROOKS, SUSAN MRS.",REP,2018,IN,H,5.0,I,C,C00500207,CARMEL,IN,460328387.0,180035,317177,0.5676168196306794,1
758,H8IN04124,"BECK, TOBI",DEM,2018,IN,H,4.0,O,P,C00639013,AVON,IN,46123.0,87824,244363,0.3593997454606467,0
759,H8IN04199,"BAIRD, JAMES R PHD",REP,2018,IN,H,4.0,O,C,C00662940,GREENCASTLE,IN,46135.0,156539,244363,0.6406002545393533,1
760,H8IN03076,"TRITCH, COURTNEY",DEM,2018,IN,H,3.0,C,P,C00648055,FORT WAYNE,IN,46863.0,86610,245537,0.3527370620313843,0
761,H6IN03229,"BANKS, JAMES E",REP,2018,IN,H,3.0,I,C,C00577999,COLUMBIA CITY,IN,467257532.0,158927,245537,0.6472629379686158,1
762,H8IN02169,"HALL, MEL",DEM,2018,IN,H,2.0,C,P,C00657635,SOUTH BEND,IN,46624.0,103363,228889,0.45158570311373636,0
763,H0IN02190,"WALORSKI SWIHART, JACKIE",REP,2018,IN,H,2.0,I,C,C00468579,ELKHART,IN,46517.0,125499,228889,0.5482963357784778,1
764,H8IN01096,"LEYVA, MARK J",REP,2018,IN,H,1.0,C,N,C00357434,HIGHLAND,IN,46322.0,85594,245209,0.3490654910708824,0
765,H4IN01012,"VISCLOSKY, PETER J.",DEM,2018,IN,H,1.0,I,C,C00166504,MERRILLVILLE,IN,46411.0,159611,245209,0.6509181963141647,1
766,H6IL18161,"RODRIGUEZ, JUNIUS",DEM,2018,IL,H,18.0,C,P,C00651653,EUREKA,IL,61530.0,95486,291413,0.32766554683559074,0
767,H6IL18088,"LAHOOD, DARIN MCKAY",REP,2018,IL,H,18.0,I,C,C00575050,DUNLAP,IL,61525.0,195927,291413,0.6723344531644093,1
768,H4IL17077,"FAWELL, WILLIAM W",REP,2018,IL,H,17.0,C,C,C00675728,GALENA,IL,61036.0,87090,229749,0.37906585012339555,0
769,H2IL17071,"BUSTOS, CHERI",DEM,2018,IL,H,17.0,I,C,C00498568,EAST MOLINE,IL,612440077.0,142659,229749,0.6209341498766044,1
770,H8IL16120,"DADY, SARA",DEM,2018,IL,H,16.0,C,P,C00654178,ROCKFORD,IL,61107.0,104569,255825,0.40875207661487345,0
771,H0IL11052,"KINZINGER, ADAM",REP,2018,IL,H,16.0,I,C,C00458877,CHANNAHON,IL,604105623.0,151254,255825,0.5912401055408971,1
772,H8IL15072,"GAITHER, KEVIN",DEM,2018,IL,H,15.0,C,C,C00648675,CHARLESTON,IL,61920.0,74309,255608,0.2907146881161779,0
773,H2IL20042,"SHIMKUS, JOHN M",REP,2018,IL,H,15.0,I,C,C00258855,COLLINSVILLE,IL,622341934.0,181294,255608,0.7092657506807298,1
774,H0IL14080,"HULTGREN, RANDY",REP,2018,IL,H,14.0,I,P,C00467522,PLANO,IL,60545.0,141164,297199,0.4749814097624824,0
775,H8IL14174,"UNDERWOOD, LAUREN A",DEM,2018,IL,H,14.0,C,C,C00652719,OSWEGO,IL,60543.0,156035,297199,0.5250185902375176,1
776,H2IL13120,"DAVIS, RODNEY L",REP,2018,IL,H,13.0,I,C,C00521948,TAYLORVILLE,IL,625689601.0,136516,270981,0.5037843981681372,1
777,H8IL13150,"LONDRIGAN, BETSY DIRKSEN",DEM,2018,IL,H,13.0,C,C,C00649483,SPRINGFIELD,IL,62712.0,134458,270981,0.49618976976245566,0
780,H6IL11133,"STELLA, DOMINICK J. M.D.",REP,2018,IL,H,11.0,C,P,C00586065,DARIEN,IL,60461.0,82358,227765,0.3615919917458784,0
781,H8IL14067,"FOSTER, G. WILLIAM (BILL)",DEM,2018,IL,H,11.0,I,C,C00435099,NAPERVILLE,IL,60540.0,145407,227765,0.6384080082541216,1
783,H8IL09224,"ELLESON, JOHN D",REP,2018,IL,H,9.0,C,P,C00672907,ARLINGTON HEIGHTS,IL,60004.0,76983,290351,0.26513771263057473,0
784,H8IL09067,"SCHAKOWSKY, JANICE D",DEM,2018,IL,H,9.0,I,C,C00327023,EVANSTON,IL,60202.0,213368,290351,0.7348622873694253,1
785,H6IL08147,"KRISHNAMOORTHI, S. RAJA",DEM,2018,IL,H,8.0,I,C,C00575092,SCHAUMBURG,IL,60168.0,130054,197127,0.6597472695267518,1
786,H8IL08101,"DIGANVKER, JITENDRA JD",REP,2018,IL,H,8.0,C,P,C00646489,SCHAUMBURG,IL,60193.0,67073,197127,0.3402527304732482,0
787,H4IL07037,"DAVIS, DANNY K",DEM,2018,IL,H,7.0,I,C,C00172619,CHICAGO,IL,60644.0,215746,246243,0.8761507941342495,1
788,H8IL17045,"CAMERON, CRAIG",REP,2018,IL,H,7.0,C,N,C00649426,CHICAGO,IL,60641.0,30497,246243,0.1238492058657505,0
789,H8IL06139,"CASTEN, SEAN",DEM,2018,IL,H,6.0,C,C,C00648493,DOWNERS GROVE,IL,60515.0,169001,315446,0.5357525535273866,1
790,H6IL06117,"ROSKAM, PETER",REP,2018,IL,H,6.0,I,P,C00410969,WHEATON,IL,60187.0,146445,315446,0.4642474464726134,0
791,H8IL05073,"HANSON, TOM",REP,2018,IL,H,5.0,C,N,C00451252,CHICAGO,IL,60611.0,65134,279131,0.2333456334122688,0
792,H0IL05096,"QUIGLEY, MIKE",DEM,2018,IL,H,5.0,I,C,C00457556,CHICAGO,IL,60614.0,213992,279131,0.7666364538514174,1
793,H8IL04175,"LORCH, MARK WAYNE",REP,2018,IL,H,4.0,O,P,C00665356,RIVERSIDE,IL,60546.0,22294,166189,0.13414846951362605,0
794,H8IL04134,"GARCIA, JESUS",DEM,2018,IL,H,4.0,O,C,C00661777,CHICAGO,IL,60623.0,143895,166189,0.865851530486374,1
795,H4IL03077,"LIPINSKI, DANIEL WILLIAM WILLIAM",DEM,2018,IL,H,3.0,I,C,C00405431,WESTERN SPRINGS,IL,60558.0,163053,223334,0.7300858803406557,1
797,H2IL02172,"KELLY, ROBIN",DEM,2018,IL,H,2.0,I,C,C00539866,CHICAGO,IL,60680.0,190684,235251,0.8105555343016608,1
799,H8IL01114,"RUDBECK, THOMAS MR.",IND,2018,IL,H,1.0,C,P,C00674978,CHICAGO,IL,60615.0,17365,257885,0.06733621575508462,0
801,H2IL01042,"RUSH, BOBBY LEE",DEM,2018,IL,H,1.0,I,C,C00257121,CHICAGO,IL,60653.0,189560,257885,0.735056323555073,1
802,H8ID02148,"SWISHER, CARLTON AARON",DEM,2018,ID,H,2.0,C,C,C00663542,BOISE,ID,83703.0,110381,280655,0.39329782116833834,0
803,H8ID02064,"SIMPSON, MICHAEL",REP,2018,ID,H,2.0,I,C,C00331397,BLACKFOOT,ID,832211667.0,170274,280655,0.6067021788316617,1
804,H2ID01150,"LIFE, PRO",CON,2018,ID,H,1.0,O,N,C00525576,LETHA,ID,83636.0,3181,315069,0.010096201149589454,0
806,H8ID01124,"FULCHER, RUSS",REP,2018,ID,H,1.0,O,C,C00648295,MERIDIAN,ID,83680.0,197719,315069,0.6275419035195465,1
809,H6ID01243,"COUNSIL, GORDON JOE",UNK,2018,ID,H,1.0,O,N,C00582510,CALDWELL,ID,83605.0,1054,315069,0.0033452989662581846,0
810,H8HI02141,"EVANS, BRIAN",REP,2018,HI,H,2.0,C,N,C00671008,KIHEI,HI,96753.0,44850,198121,0.22637681013118247,0
811,H2HI02508,"GABBARD, TULSI",DEM,2018,HI,H,2.0,I,C,C00497396,KAPOLEI,HI,96707.0,153271,198121,0.7736231898688175,1
815,H8HI00012,"CAVASSO, CAMPBELL",REP,2018,HI,H,1.0,O,P,C00680876,WAIMANALO,HI,96795.0,42498,184211,0.2307028353355663,0
816,H2HI02128,"CASE, EDWARD",DEM,2018,HI,H,1.0,,C,C00680918,HONOLULU,HI,96814.0,134650,184211,0.7309552632578945,1
817,H8GA14025,"FOSTER, STEVEN",DEM,2018,GA,H,14.0,C,P,C00675686,DALTON,GA,30721.0,53981,229724,0.23498197837404886,0
818,H0GA09030,"GRAVES, JOHN THOMAS MR. JR.",REP,2018,GA,H,14.0,I,C,C00462556,RANGER,GA,307349703.0,175743,229724,0.7650180216259511,1
819,H8GA11062,"BROADY, FLYNN D. JR.",DEM,2018,GA,H,11.0,C,P,C00675959,MARIETTA,GA,30060.0,118653,310540,0.38208604366587234,0
820,H4GA11061,"LOUDERMILK, BARRY",REP,2018,GA,H,11.0,I,C,C00543892,CASSVILLE,GA,301230447.0,191887,310540,0.6179139563341276,1
821,H8GA10197,"JOHNSON-GREEN, TABITHA",DEM,2018,GA,H,10.0,C,C,C00674143,SANDERSVILLE,GA,31082.0,112339,302735,0.37108031776966655,0
822,H0GA07125,"HICE, JODY",REP,2018,GA,H,10.0,I,C,C00544445,MONROE,GA,30655.0,190396,302735,0.6289196822303335,1
823,H8GA07201,"BOURDEAUX, CAROLYN",DEM,2018,GA,H,7.0,C,C,C00649376,SUWANEE,GA,30024.0,140011,280441,0.49925296229866534,0
824,H0GA07133,"WOODALL, ROB REP.",REP,2018,GA,H,7.0,I,C,C00482307,LAWRENCEVILLE,GA,300461871.0,140430,280441,0.5007470377013347,1
825,H6GA05217,"LEWIS, JOHN R.",DEM,2018,GA,H,5.0,I,C,C00202416,ATLANTA,GA,30331.0,275406,275406,1.0,1
826,H6GA04129,"JOHNSON, HENRY C. 'HANK",DEM,2018,GA,H,4.0,I,C,C00418293,DECATUR,GA,30034.0,227717,288809,0.7884691959045598,1
827,H8GA04125,"PROFIT, JOSEPH",REP,2018,GA,H,4.0,C,C,C00675777,MARIETTA,GA,30066.0,61092,288809,0.21153080409544023,0
828,H8GA03051,"ENDERLIN, CHARLES JOSEPH JR.",DEM,2018,GA,H,3.0,C,C,C00647446,NEWNAN,GA,30264.0,101010,293006,0.3447369678436619,0
829,H6GA03113,"FERGUSON, ANDERSON DREW IV",REP,2018,GA,H,3.0,I,C,C00607838,WEST POINT,GA,31833.0,191996,293006,0.6552630321563381,1
830,H2GA02031,"BISHOP, SANFORD D",DEM,2018,GA,H,2.0,I,C,C00266940,ALBANY,GA,31707.0,136699,229171,0.59649344812389,1
831,H8GA02087,"WEST, HERMAN JR.",REP,2018,GA,H,2.0,C,P,C00670380,ALBANY,GA,31701.0,92472,229171,0.40350655187610995,0
832,H8GA01063,"RING, LISA M.",DEM,2018,GA,H,1.0,C,C,C00648287,RICHMOND HILL,GA,31324.0,105942,250683,0.4226134201361879,0
